問題,回答內容,延伸閱讀或連結,相關法規,提供單位
創客俱樂部在幹嘛,玩雷切機、3D 列印機等等。核心概念是「自己設計，自己實作」，期望大家能貫徹我大陽明交通大學（前身交通大學）舊校徽上，ESA 所代表的 Engineering（工程）、Science（科學） 與 Administration（管理） 中的 E 跟 S。,,,
簡單介紹一下創客俱樂部,"定期活動上，一個學期會有一次茶會，與兩次或三次社課（材料費自付）。而目前規劃上，未來會在沒有社課的或茶會的那幾週，舉辦 Maker's Night，方便大家使用器材與交流感情。

課程內容上，曾經有 __水舞喇叭__ 、 __巨集鍵盤__ 、 __深淵燈__ 、 __相撲車__ 、 __螢幕掛燈__ 。本屆（第九屆，112 學年度下半到 113 上半）有過的課程是 __Cyber Cube 環氧樹酯燈__ 與 __視覺暫留炫光鐘__ ，規劃中的課程是 __自製夾娃娃機__ 與 __特務眼鏡__ 。歡迎大家來參加！

創客俱樂部在每年寒暑假都會舉辦創客營，供高中生們進行興趣與學系探索。歡迎國三畢業生與高中生們來參加營隊；也歡迎大學生們來當工人，認識強者與學習技術！",,,
創客俱樂部有什麼特色,本社是全臺灣少數的大學校內創客社團，而且不需聘請社師便可以傳承技術與能力，有能力自行研發社課與專案作品。另外，本社於校區內社團評鑑連年獲得優異成績，今年度（112 學年度）更獲得學藝性社團最高殊榮「優等」！,交大校區課活組 FB 112 學年度社團評鑑結果： https://www.facebook.com/photo/?fbid=415513707928549&set=a.126539426825980,,
創客俱樂部如何招募新成員,本社在社課、茶會與寒暑假營隊籌備期間，皆會招募有志一同的人才加入。只需繳納 500 元社費，即成為社員，並享有使用社辦器材的權利！更多資訊請參考〈Makereal Labs 組織章程〉，或聯絡創客俱樂部 Facebook 粉絲專頁。,"社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 
Facebook： https://www.facebook.com/Makereal.Labs  ",〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部會舉辦哪些活動吸引學生加入,本社會在社團博覽會上宣傳社團，也會在每學年初舉辦迎新茶會；如果學校允許，也會在學系博覽會與交大日時擺攤。這些都是加入創客社的好時機！但是，錯過了也不用擔心，在找到有興趣的社課時，你可以在報名表單中選擇「我要入社」，從當次報名起你就享有社員優惠囉！,,,
創客俱樂部是什麼性質的社團,創客俱樂部屬於陽明交通大學社團分類下的「學藝性」社團。「學」的方面，創客社的課程要求工程實務上的技術；「藝」的方面，創客社做出的東西兼具實用價值與美觀，而且十分有趣。,,,
創客俱樂部有哪些贊助商,社團初期是由聯發科教育基金會以及國立交通大學電子所一同贊助支持，在初期的活動資金以及社團器材、場地上有非常大的支持，而Niche 你需科技女力是近期本社的贊助團隊。他們致力於推廣女性 STEM 教育，希望能迎來性別平等、人人不再過度地受性別刻板印象拘束的未來！,,,
創客俱樂部有哪些合作單位,本社時常舉辦面向社會大眾的 Maker 活動，故與許多高中職以下各級學校有過合作關係。我們曾經合作過的對象有：臺中一中科學班、新竹女中、花蓮縣立國風國中等，並且預計於今年暑假前往竹北高中服務。,,,
創客俱樂部的傳統,尊重每屆社長幹部團隊的發展策略，每屆幹部都是當下最好的人選，相信時代、相信夥伴與自己。比較有趣的是交大創客社的幹部群，會在大一下的時候完成交接，是許多社團中非常特別的存在，且運作的也很好，退幹的學長姐也會時常回社團與大家交流。,,,
創客俱樂部社團活動通常在哪裡舉辦,創客俱樂部的實驗室在交大校區工程四館 417B-1 室。當在校內舉辦活動時，我們通常會就近借用隔壁的 417B（AaPaTo Space）。確切活動位置，請參閱你要參加活動的說明或貼文，或者私訊 Facebook 粉絲專頁、聯絡幹部喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社團活動在幹嘛,本社會參加許多校內校外的、與創客性質相契合的競賽。也會透過舉辦寒暑期的營隊，或與各級政府或教育單位合作，將創客的精神推廣出去，並促進校內創客與工程領域的風氣。歡迎大家來當工人～,,,
創客俱樂部社團活動地點,創客俱樂部的實驗室是交大校區工程四館 417B-1 室。當舉辦活動時，我們會就近借用隔壁的 417B（AaPaTo Space）。不過確切的活動位置，還是要看你要參加的活動的說明或貼文，或者私訊 Facebook 粉絲專頁、聯絡幹部喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社團活動時間為何,通常在禮拜三的晚上，18:00~21:00。然而有時候也會選在其他週間的晚上。請參考 Facebook 粉絲專頁，獲取最新消息喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社團活動一定要出席嗎,不需要喔！我們的社課與茶會等活動會需要支付材料費，你可以選擇自己喜歡的社課再報名。如果你有報名但是不克出席，你可以透過我們的 Facebook 粉絲專頁或社員的 Messenger 大大群，跟幹部們約時間來補喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社團活動沒到會怎樣,不會怎麼樣喔！由於我們的社課會需要支負材料費，你可以選擇自己喜歡的社課再報名。如果你有報名但是不克出席，你可以透過我們的 Facebook 粉絲專頁或社員的 Messenger 大大群，跟幹部們約時間來補喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社團活動很多人參加嗎,很多人喔！平均會有 15 人以上的社員，有時候會把 417B 室（社課通常舉辦的地點）擠得滿滿呢！另外我們的材料也有限，所以有興趣要及早報名喔！,,,
創客俱樂部社課在哪裡,創客俱樂部的實驗室在交大校區工程四館 417B-1 室。當舉辦活動時，我們會就近借用隔壁的 417B（AaPaTo Space）。確切活動位置，請參閱你要參加活動的說明或貼文喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部社課在幹嘛,講師與助教（也就是我們的教學幹部們啦 XD）會引領你切割、焊接、自訂與設計你的成品。課程結束後，你就會學到各種不論是資訊或電機、硬體或軟體工程實務上，必備的技術囉！,,,
創客俱樂部社課沒到會怎樣,不需要喔！我們的社課與茶會等活動會需要支付材料費，你可以選擇自己喜歡的社課再報名。如果你有報名但是不克出席，你可以透過我們的粉絲專頁或社員的 Messenger 大大群，跟幹部們約時間來補喔！,,,
創客俱樂部社課時間,通常在禮拜三的晚上，18:00~21:00。然而有時候也會選在其他週間的晚上。請參考 Facebook 粉絲專頁，獲取最新消息喔！,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部成員有哪些福利,只需繳納 500 元社費，即成為終生社員，並享有使用社辦器材的權利！創客俱樂部在社課、茶會與寒暑假營隊籌備期間，皆會招募有志一同的人才加入！更多資訊請參考〈Makereal Labs 組織章程〉，或聯絡創客俱樂部 Facebook 粉絲專頁,"Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部會有固定的練習、訓練時間嗎,"目前沒有喔！但是在 113 年上半學期的規劃中，我們預計會在沒有社課的那幾個禮拜舉辦 Maker's Night，開放社辦供大家使用，並提供社員交流的機會。歡迎社員們自由參加！

如果你想知道什麼時候會有社課或社團活動的話，請關注我們的 Facebook 粉絲專頁與 Instagram！","Facebook： https://www.facebook.com/Makereal.Labs 
Instagram： https://www.instagram.com/makereallabs_nctu ",,
創客俱樂部常有比賽或表演嗎,社團內目前還沒有固定會舉辦的比賽，不過在社團內可以輕易找到願意一同打比賽的夥伴。我們平均每學期會揪一次社員去參加校外的創客松，例如 MakeNTU 或梅竹黑客松。,,,
創客俱樂部會定期舉辦哪些活動,通常在禮拜三的晚上，18:00~21:00。然而有時候也會選在其他週間的晚上。請參考 Facebook 粉絲專頁，獲取最新消息喔！同時我們預計會在沒有社課的那幾個禮拜舉辦 Maker's Night，開放社辦供大家使用，並提供社員交流的機會。歡迎社員們自由參加！另外在每年的寒假及暑假創客俱樂部皆會舉辦創客營將創客精神推廣給高中生們。,,,
創客俱樂部有參加過什麼校內活動或競賽,我們曾經與交大光影節合作（作品名稱：《重燃光明：深淵cube》）。我們也會參與校內的交大日／學系博覽會，與社博擺攤等等活動。而每年的社團評鑑中，本社也屢屢取得佳績——今年度（112 學年度）更獲得學藝性社團最高殊榮「優等」呢！,交大校區課活組 FB 112 學年度社團評鑑結果： https://www.facebook.com/photo/?fbid=415513707928549&set=a.126539426825980,,
創客俱樂部有跟哪些社團有長期合作,目前為止，我們並沒有跟任何社團構築長期合作關係。但是我們對於與其他社團合作，保持著開放的態度。歡迎大家來與我們接洽！,,,
創客俱樂部有跟哪些學校有長期合作,目前為止，我們並沒有跟任何學校構築長期合作關係。然而我們曾與許多機構有過短期的合作，包含開設中一中科學班創客體驗營、開設竹北高中 JS 營、開設花蓮國風國中暑期程式營等。,,,
創客俱樂部有參加過什麼校外活動或競賽,"我們參加過許多競賽，包含 2024 臺大電機創客松、2023 臺大電機創客松、2023 梅竹黑客松、2022 臺大電機創客松等。我們也曾經接受過 __國立教育廣播電臺__ __青春創學院__ 的訪問。
另外，我們也會舉辦校外活動，例如過往開設過中一中科學班創客體驗營、開設花蓮國風國中暑期程式營等，且今年預計要開設竹北高中 JS 營。",,,
創客俱樂部參與校外活動的機會多嗎？,很多喔！我們會參加各式創客松，並且舉辦多個服務性質的營隊，或者與各級政府、教育機關合辦教學活動。你可以自由選擇要不要進來當工人，參與這些活動喔！,,,
創客俱樂部每年有哪些大型活動,"每年固定會舉辦的大型活動是寒暑假的高中生創客營隊，為期三天的營隊我們會帶給高中生程式設計及電子元件課程，主要內容為教學基礎創客技能、C++、arduino開發板、電子元件實作，同時會加入專案製作的部分，由助教帶領，學習統合程式、電路、組裝、焊接等技能，探索電子元件的拓展與可能性，作為個人專案與創客松發想的重要基礎實作，最後迎接的挑戰創客松，讓學員們發揮創意並結合營隊所學之程式、電子元件。小組實做出自己理想的作品，最後邀請教授來進行評分。
",,,
創客俱樂部會很累嗎,身為社員可以享受社團器材使用的福利，但不會有需要勞心勞累的事。身為社團幹部則需要付出較多心力在社團的經營上。,,,
創客俱樂部厲害嗎,當然厲害。我們社團可是與好多頂尖的學校（如新竹女中、臺中一中）合作過呢！而且我們在 112 學年度的社團評鑑中拿到了優等呢！,交大校區課活組 FB 112 學年度社團評鑑結果： https://www.facebook.com/photo/?fbid=415513707928549&set=a.126539426825980,,
創客俱樂部好玩嗎,十分有趣喔！你可以體驗自己親手設計、製作到成型的魅力，也可以與學校內的強者們交流、認識、獲取新知。,,,
創客俱樂部真的可以學習到東西嗎,真的可以喔！你能透過定期舉辦的社團課時間由教學帶領製作炫酷的專案，從其中獲取新知，也可以利用創客俱樂部提供的資源自行學習。,,,
創客俱樂部跟其他社團不同的地方,創客俱樂部強調創意和創新，鼓勵成員自由發揮想像力，進行創作和實驗。相比之下，其他社團如體育社團或文化社團，可能更多專注於既定項目或活動，同時創客俱樂部強調動手實踐，成員通過實際製作來學習和應用知識，這與一些以理論學習為主的學術社團形成鮮明對比。總的來說，創客俱樂部以其強調創新、實踐和跨學科合作的特點，並為成員提供了一個充滿挑戰和機遇的學習和成長平台。,,,
創客俱樂部有社群帳號嗎,"有喔！我們的社群帳號如下：
- Facebook 粉絲專頁「交大創客俱樂部 Makereal Labs NCTU」 https://www.facebook.com/Makereal.Labs 
- Instagram 「makereallabs_nctu」 https://www.instagram.com/makereallabs_nctu/ 
- YouTube「Makereal Labs NCTU 交大創客俱樂部」 https://www.youtube.com/@MakerealLabs ",,,
創客俱樂部的社群帳號,"我們的社群帳號如下：
- Facebook 粉絲專頁「交大創客俱樂部 Makereal Labs NCTU」 https://www.facebook.com/Makereal.Labs 
- Instagram 「makereallabs_nctu」 https://www.instagram.com/makereallabs_nctu/ 
- YouTube「Makereal Labs NCTU 交大創客俱樂部」 https://www.youtube.com/@MakerealLabs ",,,
創客俱樂部的官方網站,本社的社團官網如下： https://makereallabs.nycu.me ,,,
創客俱樂部的 FB,"請在 Facebook 上搜尋「交大創客俱樂部 Makereal Labs NCTU」https://www.facebook.com/Makereal.Labs
我們會在 Facebook 上不定時上傳課程資訊與社團大小事",,,
創客俱樂部的 IG,"請在 Instagram 上搜尋「makereallabs_nctu」 https://www.instagram.com/makereallabs_nctu/ 
我們會在 Instagram 上不定時上傳課程資訊與社團大小事",,,
創客俱樂部的 YouTube,"請在 YouTube 上搜尋「Makereal Labs NCTU 交大創客俱樂部」 https://www.youtube.com/@MakerealLabs 
如果創客俱樂部有課程錄影的話，通常會上傳到這個頻道（設為非公開）。",,,
創客俱樂部的 Email,"本社的 Email 帳號如下： makereallabsnctu@gmail.com
但是有簡單的、較不正式的問題時，建議先前往 Facebook 粉絲專頁私訊詢問喔！",Facebook： https://www.facebook.com/Makereal.Labs ,,
創客俱樂部的社長是怎麼產生的,"依照〈Makereal Labs 組織章程〉第 6 條第 1 項，本社的所有幹部之產生方式為
> 由前任幹部遴選下任幹部，以面談及幹訓表現作為遴選標準。

而實務上，有意願成為社長者可以在寒假創客營中擔任工人，並向前任幹部表明想要擔任社長的意願。",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部有哪些幹部,"如同一般社團，首先我們有社長、副社長在帶領社團方向，以及總務在管理財務。
再來，我們設有教學負責研發課程與專案，以及開設社課。
還有，我們有美宣與公關，負責發文、寄信通知小隊員，與宣傳課程內容。
最後，我們有文書、雲端長與機動，負責整理社團的智慧財產與記錄會議內容。

創客俱樂部第九屆之任期為 112 下半至 113 上半學年度。全員名單如下：
- 社長：簡惠心
- 副社長：潘仰祐
- 教學：曾豊茗、林子鈞、呂杰軒
- 教學兼美宣：洪翠憶
- 教學兼簡報長：許哲瑋
- 總務：王嵐
- 公關兼網頁：張芷瑄
- 雲端長兼攝影師兼文書：呂沁儒
- 公關兼營期總務：何昕恩",,,
創客俱樂部的幹部要做哪些事情,依照幹部的職位不同，有相異的工作內容。可參考〈Makereal Labs 組織章程〉第 5 條對於幹部職位、幹部數量、幹部職務內容的規定。,社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部的幹部會很累嗎,說實在蠻累的。為了要維持社團營運、準備活動或研發課程，保守估計每週會花上八到九個小時。建議擔任幹部者在任期間只修讀必修學分（不要超過 18 學分），以免蠟燭兩頭燒。,,,
創客俱樂部的幹部會需要比別人花更多時間在社團上嗎,會。比起社員約三個小時，幹部通常每週會花上至少八到九個小時。所以建議擔任幹部者在任期間，只修讀必修學分（不要超過 18 學分），以免蠟燭兩頭燒。,,,
創客俱樂部學長姐人好嗎,學長姐人都很好，並沒有學長姐學弟妹制度。而且學長姐常常會在舉辦活動時回來社團，協助我們。他們也不吝於與學弟妹分享在學校相關的經歷、學校的一些奇聞軼事、在學校生活的注意事項等等。,,,
創客俱樂部的成立宗旨是什麼,"聚焦技術  實踐創客精神
我們不只作夢，我們也「做」夢 !
藉由彼此的交流與分享，一起學習與成長",,,
創客俱樂部的成立目的是什麼,"Makereal Labs = Maker x real Labs
我們不只作夢，我們也「做」夢 !
藉由彼此的交流與分享，一起學習與成長",,,
創客俱樂部會有定期會議嗎,"創客俱樂部在每年會至少有一次社員大會。幹部會在社員大會上，向社員報告活動計劃。如果有社員提案，亦於此時表決。
另外，如果身為幹部，則需要定期參加幹部會議，討論社團的發展內容、追蹤與推進活動與課程的規劃進度，與互相交辦待做的事項。",,,
創客俱樂部定期會議都在討論什麼,"以每年至少一次的社員大會而言，幹部會發表活動計劃。如果有社員提案，也會在此會議上表決。
而以幹部會議而言，幹部們會在會議中討論要不要接下某些活動，並且互相追蹤活動的進度、交辦要完成的事情。",,,
創客俱樂部有哪些分支或小組,沒有明文規定的分支或小組。但是在創客松競賽時，比較熟悉、曾經共事過的社團成員通常會自己組隊，進行比賽。,,,
創客俱樂部的分支或小組在幹嘛,我們沒有分支或小組的概念。如果想要自己組成創客松競賽時的小組，可以與自己相處較好的社團成員組隊。,,,
創客俱樂部在學校的影響力為何,學校的系所（如電機系）常常會跟我們合作，而我們的社員也超過百人，在學校中著實算是佔有一席之地啊！,,,
創客俱樂部對學校的貢獻為何,我們會與校內的許多團體合作，把所學與實務相結合，讓交大的學生不再是空談理論！,,,
創客俱樂部對學校有哪些貢獻,我們會與校內的許多團體合作，把所學與實務相結合，讓交大的學生不再是空談理論！,,,
創客俱樂部對新成員有培訓計畫嗎,在社課中，我們會教導新成員所有足以他們完成該課程的技能，透過「做中學」的方式培訓他們。學員也可以到下學期將開設的 Maker's Night，請幹部與學長姐們帶領使用 3D 列印機、雷切機等等裝置喔！,,,
創客俱樂部的運作模式是什麼,我們每個學期會舉辦兩次社課，教導其他社員關於電子零件的應用等,,,
創客俱樂部有沒有提供新生導覽或介紹會,有，我們在學期初的時候會舉辦新生茶會，帶領新社員了解創客的生態。也可以在社團博覽會的時候，來到我們的攤位，詢問問題、與我們互動喔！,,,
哪裡可以知道創客俱樂部提供的新生導覽或介紹會資訊,我們會參加社團博覽會，同時我們有 Instagram 與 Facebook 可以讓社員了解有關我們的資訊。歡迎大家關注 Facebook，在我們要在社團博覽會擺攤、要舉辦迎新茶會時來找我們！但是，你也可以私訊 FB 粉專，表明你想入社，並與我們排定認識社團的時程喔！,,,
創客俱樂部有沒有定期的社團聚會,預計從下個學期開始，在沒有舉行社課的每個禮拜，我們會舉辦 Maker's Night 來聯繫社員之間的感情。歡迎大家關注 Facebook 消息，社員也請隨時注意 Messenger 大大群喔！,,,
創客俱樂部定期的社團聚會在幹嘛,預計於下個學期（113 學年度上學期）開始，我們會在沒社課的禮拜有 Maker's Night。那時我們會帶領新進的社員使用社團機器，並且教導大家認識電子材料。歡迎大家來參與！,,,
創客俱樂部有哪些內部交流或學習的機會,我們內部會舉辦社課，來讓社員對電子材料有進一步的認識。預計於下個學期（113 學年度上學期）開始，我們會在沒社課的禮拜有 Maker's Night。那時我們會帶領新進的社員使用社團機器，並且教導大家認識電子材料。歡迎大家來參與！,,,
創客俱樂部有沒有參與志願服務或公益的活動,有喔！我們參加過的非營利、公益性質的活動很多，如 112 年暑假至花蓮國風國中開設 Pygame 營隊，教導當地學童如何使用 Python 製作小遊戲。113 年暑假，我們也將至國立竹北高中開設公益性質 JavaScript 工作坊，希望能啟發高中生對於電機資工方面的興趣。另外，我們辦理過多次面向女高中生的 STEM 工作坊，希望能打破性別刻板印象，促進性別平權！,,,
創客俱樂部參與過哪些志願服務或公益的活動,我們參加過的非營利、公益性質的活動有很多，如 112 年暑假至花蓮國風國中開設 Pygame 營隊，教導當地學童如何使用 Python 製作小遊戲。113 年暑假，我們也將至國立竹北高中開設公益性質 JavaScript 工作坊，希望能啟發高中生對於電機資工方面的興趣。,,,
創客俱樂部得過哪些名次,"我們得過的獎項，可是多得不勝枚舉呢！舉這幾年為例：
- 2024 臺大創客松 MakeNTU：企業獎慧榮科技第二名、企業獎友達光電第三名
- 2023 梅竹黑客松：創客交流組第二名、企業獎台積電第三名
- 2023 臺大創客松 MakeNTU：大會獎最佳創意獎、大會獎最佳解決方案獎、企業獎義法半導體第三名、企業獎英飛凌科技第二名

再更之前，還有更多獎項呢！",,,
創客俱樂部得過哪些獎項,"我們得過的獎項，可是多得不勝枚舉呢！舉這幾年為例：
- 2024 臺大創客松 MakeNTU：企業獎慧榮科技第二名、企業獎友達光電第三名
- 2023 梅竹黑客松：創客交流組第二名、企業獎台積電第三名
- 2023 臺大創客松 MakeNTU：大會獎最佳創意獎、大會獎最佳解決方案獎、企業獎義法半導體第三名、企業獎英飛凌科技第二名

再更之前，還有更多獎項呢！",,,
創客俱樂部參與過哪些活動,我們不定時會參加各式創客競賽，例如每年的 MakeNTU 臺大創客松與梅竹黑客松。我們幹部也偶爾會一同出去考察，例如參加 SITCON 學生計算機年會（2024）。,,,
創客俱樂部舉辦過哪些活動,"- 舉辦寒、暑假創客營隊，帶領學員接觸創客的領域，體驗其中的樂趣，打造國家未來的人才。
- 承接女中 STEM 工作坊計劃案：鼓勵女高中生接觸大一電機的知識，打破性別刻板印象、促進平等。
- 社課：創客社的教學會自主研發專案，並帶領社員以「做中學」的方式獲得技能。
- 社員大會：每年至少會有一次。
- 服務性質（無盈利）的營隊：如去年我們到花蓮國風國中服務過，帶領偏鄉學子學習 Pygame。",,,
創客俱樂部的經費來源有哪些,我們經費的來源，主要是舉辦暑假創客營與寒假創客營的盈餘。除此之外，接下各級政府機關或教育單位的委託案，與擔任女性 STEM 教育的創客講師等等，也是我們的不時的收入來源噢！,,,
創客俱樂部如何使用經費,"根據〈Makereal Labs 組織章程〉第 8.1 條第 2 項：
> 款項之運用，應另以細則訂之。

所以，我們會依照制定好的規則，妥善地使用經費。目前細則之大綱如下：使用經費需要先寫一份預算書，並找社長說明，社長同意後方可使用這筆經費，在購買時需要打上本校統編，最後再向總務請款。",社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
創客俱樂部的社團經費都用在哪方面,大多用在教學研發與材料採購上（電子零件消耗很快的！），佔了 60%。,,,
創客俱樂部的經費使用比例,教學研發與材料採購約占 60%，其他舉辦活動的採購費用約佔了 30%，剩下就是社團的零食與公共用品囉！,,,
創客俱樂部的經費使用是否透明化,有喔！我們都會把帳本與發票明細發在公共的雲端上，所有幹部皆可瀏覽！如果你是社員的話，請找總務取得檢視喔！,,,
創客俱樂部的經費使用會讓社員知道嗎,有喔！我們都會把帳本與發票明細發在公共的雲端上，所有幹部皆可瀏覽！如果你是社員的話，請找總務取得檢視喔！,,,
創客俱樂部要繳社費嗎,要入社時，需要繳交一次性的 500 元社費。此後就終生享有社員的權利與義務喔！（此後每堂社課原則上減免 300 元，與可以借用社辦器械等等的福利。詳情請見〈Makereal Labs 組織章程〉）,社團入口網（前往下載組織章程）： https://clubportal.nycu.edu.tw/club/view/info/1046F49F-819B-4645-BDAA-08D7A859F1A5 ,〈Makereal Labs 組織章程〉（2024 年修訂）,
